year_th,name_n,province_n_th,product_amt,product_ratio,harvested_area,product_per_harvested_area,
2561,ข้าวนาปี,ขอนแก่น,194684,0.0492,2151642,2148943,
2561,ข้าวนาปี,ราชบุรี,14861,0.0038,196476,196280.9,
2561,ข้าวนาปี,แพร่,39409,0.0099,267028,266453.8,
2560,ข้าวนาปี,สุพรรณบุรี,51517,0.0128,1000930,1032550,
2560,ข้าวนาปี,ราชบุรี,14671,0.0037,207107,207148.5,
2560,ข้าวนาปี,อุดรธานี,149539,0.0373,1553313,1673076,
2560,ข้าวนาปี,เลย,63916,0.0159,426724,435115.9,
2560,ข้าวนาปี,สุโขทัย,51460,0.0128,795406,914201.6,
2560,ข้าวนาปี,อุบลราชธานี,261871,0.0652,3673239,3813868,
2560,ข้าวนาปี,กำแพงเพชร,46259,0.0115,995515,1067247,
2560,ข้าวนาปี,ขอนแก่น,197817,0.0493,1967057,2201223,
2560,ข้าวนาปี,แพร่,42390,0.0106,289633,289084,
2560,ข้าวนาปี,สมุทรสงคราม,108,0,2042,2042.25,
2560,ข้าวนาปี,นครปฐม,12229,0.003,240104,240293.8,
2560,ข้าวนาปี,สระบุรี,11029,0.0027,278758,279135.5,
2560,ข้าวนาปี,ตาก,29642,0.0074,289245,292365.1,
2560,ข้าวนาปี,นครราชสีมา,219581,0.0547,3198175,3294764,
2560,ข้าวนาปี,พิษณุโลก,60814,0.0152,1039290,1141647,
2560,ข้าวนาปี,นราธิวาส,5928,0.0015,27916,30402.75,
2560,ข้าวนาปี,หนองคาย,45822,0.0114,516380,527455.8,
2560,ข้าวนาปี,ตรัง,1612,4.0E-4,7549,7686.64,
2559,ข้าวนาปี,แพร่,157287,0.0062,282323,557.12,
2559,ข้าวนาปี,เลย,143547,0.0057,368520,389.52,
2559,ข้าวนาปี,สมุทรสงคราม,1852,1.0E-4,2634,703.11,
2559,ข้าวนาปี,สุโขทัย,534346,0.0212,952449,561.02,
2559,ข้าวนาปี,พิษณุโลก,747444,0.0296,1254339,595.89,
2559,ข้าวนาปี,ราชบุรี,170125,0.0067,252439,673.93,
2559,ข้าวนาปี,สระบุรี,208129,0.0082,323753,642.86,
2559,ข้าวนาปี,ตรัง,4986,2.0E-4,12028,414.53,
2559,ข้าวนาปี,ตาก,90979,0.0036,216387,420.45,
2559,ข้าวนาปี,อุดรธานี,639221,0.0253,1686993,378.91,
2559,ข้าวนาปี,นครราชสีมา,1161219,0.046,3264322,355.73,
2559,ข้าวนาปี,หนองคาย,187337,0.0074,509567,367.64,
2559,ข้าวนาปี,นครปฐม,232976,0.0092,320525,726.86,
2559,ข้าวนาปี,กำแพงเพชร,705914,0.028,1175146,600.7,
2559,ข้าวนาปี,ขอนแก่น,776938,0.0308,2260675,343.68,
2559,ข้าวนาปี,อุบลราชธานี,1264065,0.0501,3779984,334.41,
2559,ข้าวนาปี,สุพรรณบุรี,871495,0.0345,1197904,727.52,
2559,ข้าวนาปี,นราธิวาส,17428,7.0E-4,46575,374.19,
2558,ข้าวนาปี,สมุทรสงคราม,2511,1.0E-4,3562,704.94,
2558,ข้าวนาปี,นครปฐม,242527,0.0102,330786,733.18,
2558,ข้าวนาปี,นครราชสีมา,1111959,0.0466,3102313,358.43,
2558,ข้าวนาปี,สุพรรณบุรี,929719,0.0389,1270922,731.53,
2558,ข้าวนาปี,สระบุรี,188009,0.0079,298689,629.45,
2558,ข้าวนาปี,สุโขทัย,479794,0.0201,892198,537.77,
2558,ข้าวนาปี,พิษณุโลก,659987,0.0276,1195686,551.97,
2558,ข้าวนาปี,นราธิวาส,18608,8.0E-4,49775,373.84,
2558,ข้าวนาปี,ราชบุรี,198849,0.0083,296672,670.27,
2558,ข้าวนาปี,อุบลราชธานี,1140552,0.0478,3594957,317.26,
2558,ข้าวนาปี,เลย,121345,0.0051,329470,368.3,
2558,ข้าวนาปี,ขอนแก่น,661491,0.0277,1955682,338.24,
2558,ข้าวนาปี,กำแพงเพชร,647951,0.0271,1128919,573.96,
2558,ข้าวนาปี,ตาก,87351,0.0037,209446,417.06,
2558,ข้าวนาปี,ตรัง,4463,2.0E-4,11952,373.41,
2558,ข้าวนาปี,หนองคาย,162327,0.0068,448072,362.28,
2558,ข้าวนาปี,แพร่,144051,0.006,265233,543.11,
2558,ข้าวนาปี,อุดรธานี,575086,0.0241,1607788,357.69,
2557,ข้าวนาปี,พิษณุโลก,782776,0.0298,1344194,582.34,
2557,ข้าวนาปี,อุดรธานี,635141,0.0242,1709518,371.53,
2557,ข้าวนาปี,นครราชสีมา,1064465,0.0405,2974684,357.84,
2557,ข้าวนาปี,นราธิวาส,17733,7.0E-4,46977,377.48,
2557,ข้าวนาปี,ตรัง,4593,2.0E-4,12100,379.59,
2557,ข้าวนาปี,ตาก,112100,0.0043,258290,434.01,
2557,ข้าวนาปี,สุโขทัย,577418,0.022,1012633,570.21,
2557,ข้าวนาปี,กำแพงเพชร,768639,0.0293,1317629,583.35,
2557,ข้าวนาปี,เลย,134192,0.0051,358139,374.69,
2557,ข้าวนาปี,แพร่,154402,0.0059,278607,554.19,
2557,ข้าวนาปี,นครปฐม,265957,0.0101,359525,739.75,
2557,ข้าวนาปี,สมุทรสงคราม,2639,1.0E-4,3759,702.05,
2557,ข้าวนาปี,อุบลราชธานี,1201818,0.0457,3654003,328.9,
2557,ข้าวนาปี,หนองคาย,185852,0.0071,501828,370.35,
2557,ข้าวนาปี,สระบุรี,233361,0.0089,354263,658.72,
2557,ข้าวนาปี,ราชบุรี,211894,0.0081,314538,673.67,
2557,ข้าวนาปี,สุพรรณบุรี,960958,0.0366,1306062,735.77,
2557,ข้าวนาปี,ขอนแก่น,684263,0.026,2014350,339.69,
2562,ข้าวนาปี,ตรัง,4244,2.0E-4,9929,427.43,
2562,ข้าวนาปี,ตาก,119200,0.0046,271881,438.43,
2562,ข้าวนาปี,ขอนแก่น,736822,0.0286,1929408,381.89,
2562,ข้าวนาปี,อุบลราชธานี,1406996,0.0545,3879360,362.69,
2562,ข้าวนาปี,อุดรธานี,643777,0.0249,1707369,377.06,
2562,ข้าวนาปี,กำแพงเพชร,716253,0.0278,1177583,608.24,
2562,ข้าวนาปี,สมุทรสงคราม,1493,1.0E-4,2094,712.99,
2562,ข้าวนาปี,แพร่,167783,0.0065,292717,573.19,
2562,ข้าวนาปี,พิษณุโลก,741372,0.0287,1300146,570.22,
2562,ข้าวนาปี,ราชบุรี,165478,0.0064,240812,687.17,
2562,ข้าวนาปี,เลย,160204,0.0062,405742,394.84,
2562,ข้าวนาปี,สระบุรี,209788,0.0081,323884,647.73,
2562,ข้าวนาปี,นราธิวาส,19233,7.0E-4,42375,453.88,
2562,ข้าวนาปี,หนองคาย,192867,0.0075,512168,376.57,
2562,ข้าวนาปี,นครปฐม,229159,0.0089,307820,744.46,
2562,ข้าวนาปี,นครราชสีมา,1101661,0.0427,3035540,362.92,
2562,ข้าวนาปี,สุโขทัย,585555,0.0227,1001294,584.8,
2562,ข้าวนาปี,สุพรรณบุรี,909867,0.0353,1245326,730.63,
2561,หอมแดง,อุบลราชธานี,1834,0.011,654,2804.28,
2561,หอมแดง,สุโขทัย,139,8.0E-4,63,2206.35,
